"","screen_name","text","link","date","year","week","dmy","rt_user","hashtags"
"668","@rentapwha","RT @SchenkerSilvia: Eben einem SVP Mitglied auf seinen Wunsch hin ein paar Unterschriftsbögen für das Referendum geschickt. Er hilft beim Sammeln #Versicherungsspione #Versicherungsspitzel #ATSG @DimitriRougy @dani_graf @SibylleBerg","http://twitter.com/rentapwha/status/982934410789117952",2018-04-08 12:53:00,2018,14,2018-04-08,"RT @SchenkerSilvia:","c(""#versicherungsspione "", ""#versicherungsspitzel "", ""#atsg "")"
"669","@ma_rieba","Wie die angeblich «hochseriösen» #Versicherungsspione arbeiten: «Die Momente, in denen Roth laut ­Ermittlungsbericht für schwere Lasten die rechte Hand einsetzt, sind filmisch nie ­festgehalten, die Szenen davor und danach dagegen schon.»
https://t.co/4ka0laIUJ1","http://twitter.com/ma_rieba/status/982935706157895680",2018-04-08 12:58:00,2018,14,2018-04-08,NA,"#versicherungsspione "
"670","@vecirex","RT @ma_rieba: Wie die angeblich «hochseriösen» #Versicherungsspione arbeiten: «Die Momente, in denen Roth laut ­Ermittlungsbericht für schwere Lasten die rechte Hand einsetzt, sind filmisch nie ­festgehalten, die Szenen davor und danach dagegen schon.»
https://t.co/4ka0laIUJ1","http://twitter.com/vecirex/status/982936266936381440",2018-04-08 13:00:00,2018,14,2018-04-08,"RT @ma_rieba:","#versicherungsspione "
"671","@eta_systems","jippie,
Über 7500 Leute haben Online den Bogen zum Unterschriften sammeln  Runtergeladen. Wenn jeder da fünf Leute bringen würde. WOWWWW
#versicherungsspione 
Meine Aussage wir haben die 55`000 in einer Woche zusammen, irgendwie aso... ich sag jetzt nix...","http://twitter.com/eta_systems/status/982936639860281344",2018-04-08 13:02:00,2018,14,2018-04-08,NA,"#versicherungsspione "
"672","@vecirex","Wenn schon die Bundesanwaltschaft nicht selten Mühe hat, gerichtsfeste Beweise zu produzieren (vgl. z. B. #Quatur-Mafia-Fall oder #RütliBomber), dann ist es klar, dass leistungsbezahlte #Versicherungsspitzel hier vor allem eines produzieren: Datenmüll.
https://t.co/mDhsgyX1uN","http://twitter.com/vecirex/status/982936785599811584",2018-04-08 13:02:00,2018,14,2018-04-08,NA,"c(""#quatur-mafia-fall "", ""#rütlibomber), "", ""#versicherungsspitzel "")"
"673","@StaedlerRolf","RT @ma_rieba: Wie die angeblich «hochseriösen» #Versicherungsspione arbeiten: «Die Momente, in denen Roth laut ­Ermittlungsbericht für schwere Lasten die rechte Hand einsetzt, sind filmisch nie ­festgehalten, die Szenen davor und danach dagegen schon.»
https://t.co/4ka0laIUJ1","http://twitter.com/StaedlerRolf/status/982938638999851008",2018-04-08 13:10:00,2018,14,2018-04-08,"RT @ma_rieba:","#versicherungsspione "
"674","@buercher","RT @ma_rieba: Wie die angeblich «hochseriösen» #Versicherungsspione arbeiten: «Die Momente, in denen Roth laut ­Ermittlungsbericht für schwere Lasten die rechte Hand einsetzt, sind filmisch nie ­festgehalten, die Szenen davor und danach dagegen schon.»
https://t.co/4ka0laIUJ1","http://twitter.com/buercher/status/982941025655246849",2018-04-08 13:19:00,2018,14,2018-04-08,"RT @ma_rieba:","#versicherungsspione "
"675","@hans_denkt","RT @ma_rieba: Wie die angeblich «hochseriösen» #Versicherungsspione arbeiten: «Die Momente, in denen Roth laut ­Ermittlungsbericht für schwere Lasten die rechte Hand einsetzt, sind filmisch nie ­festgehalten, die Szenen davor und danach dagegen schon.»
https://t.co/4ka0laIUJ1","http://twitter.com/hans_denkt/status/982941195990196224",2018-04-08 13:20:00,2018,14,2018-04-08,"RT @ma_rieba:","#versicherungsspione "
"676","@Knotenbleistift","Guter Punkt: Da können Sachbearbeiter ohne juristische Ausbildung Detektive ohne anerkannte Ausbildung beauftragen – und niemand kann deren Arbeit überprüfen, wenn sie nicht einen groben Patzer begehen. Weil nämlich niemand etwas davon weiss.  #creepy #versicherungsspitzel https://t.co/fr74KLvGch","http://twitter.com/Knotenbleistift/status/982942353265758210",2018-04-08 13:24:00,2018,14,2018-04-08,NA,"c(""#creepy "", ""#versicherungsspitzel "")"
"677","@MarkusGilli","#SonnTalk: Die Themen: Sozialdetektive: Schnüffelstaat oder Kampf gegen Betrüger? Waffenrecht: Prävention oder Misstrauen? Putin: Diplomatie oder Härte? Meine Gäste: @JayBadran (SP), Pirmin Bischof (CVP) &amp; Thomas Matter (SVP). Ab 18:20h live auf TeleZüri, Tele M1 und TeleBärn.","http://twitter.com/MarkusGilli/status/982943177358311425",2018-04-08 13:28:00,2018,14,2018-04-08,NA,"#sonntalk: "
"678","@Zahni_LE","RT @Knotenbleistift: Guter Punkt: Da können Sachbearbeiter ohne juristische Ausbildung Detektive ohne anerkannte Ausbildung beauftragen – und niemand kann deren Arbeit überprüfen, wenn sie nicht einen groben Patzer begehen. Weil nämlich niemand etwas davon weiss.  #creepy #versicherungsspitzel https://t.co/fr74KLvGch","http://twitter.com/Zahni_LE/status/982943386880610304",2018-04-08 13:29:00,2018,14,2018-04-08,"RT @Knotenbleistift:","c(""#creepy "", ""#versicherungsspitzel "")"
"679","@LucaLaube","RT @MarkusGilli: #SonnTalk: Die Themen: Sozialdetektive: Schnüffelstaat oder Kampf gegen Betrüger? Waffenrecht: Prävention oder Misstrauen? Putin: Diplomatie oder Härte? Meine Gäste: @JayBadran (SP), Pirmin Bischof (CVP) &amp; Thomas Matter (SVP). Ab 18:20h live auf TeleZüri, Tele M1 und TeleBärn.","http://twitter.com/LucaLaube/status/982943518376316928",2018-04-08 13:29:00,2018,14,2018-04-08,"RT @MarkusGilli:","#sonntalk: "
"680","@HSimbad","RT @eta_systems: jippie,
Über 7500 Leute haben Online den Bogen zum Unterschriften sammeln  Runtergeladen. Wenn jeder da fünf Leute bringen würde. WOWWWW
#versicherungsspione 
Meine Aussage wir haben die 55`000 in einer Woche zusammen, irgendwie aso... ich sag jetzt nix...","http://twitter.com/HSimbad/status/982944500908781568",2018-04-08 13:33:00,2018,14,2018-04-08,"RT @eta_systems:","#versicherungsspione "
