"","screen_name","text","link","date","year","week","dmy","rt_user","hashtags","cld2","cld3"
"532","@wahlch15","RT @j_buechi: Diese Grafik zeigt, wie stark die Casino-Lobby im Parlament vertreten ist. #Geldspielgesetz - https://t.co/XzTmHrNpZz via @watson_news","http://twitter.com/wahlch15/status/988312021765709824",2018-04-23 09:02:00,2018,17,2018-04-23,"RT @j_buechi:","#geldspielgesetz ","de","de"
"533","@meierelias","Aus Gründen verzichte ich auf einen Kommentar zu dieser Grafik zum #Geldspielgesetz . #GSGNein @Internet_Zensur @TheDudeLebovski https://t.co/u9BawV8hzY","http://twitter.com/meierelias/status/988313939682488320",2018-04-23 09:09:00,2018,17,2018-04-23,NA,"c(""#geldspielgesetz "", ""#gsgnein "")","de","de"
"534","@PhTschopp","Am Wochenende lobte @AGmur die JCVP überschwänglich für die JA-Parole zum #Geldspielgesetz - nun weiss ich auch warum: Ihr Mann bekleidet 3 Ämter im Casinobereich.
#CasinoKartellGesetz #GSGNein
Grafik zum Casinofilz:
https://t.co/wV4tT1wKBo https://t.co/UWAN1ynMSG","http://twitter.com/PhTschopp/status/988314532610273280",2018-04-23 09:12:00,2018,17,2018-04-23,NA,"c(""#geldspielgesetz "", ""#casinokartellgesetz "", ""#gsgnein"")","de","de"
"535","@manu_zuri","Diese Grafik zeigt, wie stark die Casino-Lobby im Parlament vertreten ist https://t.co/BdkGegbhmJ https://t.co/OtIFpwdS5I","http://twitter.com/manu_zuri/status/988315151206989824",2018-04-23 09:14:00,2018,17,2018-04-23,NA,"character(0)","de","de"
"536","@RoliMarti","RT @j_buechi: Diese Grafik zeigt, wie stark die Casino-Lobby im Parlament vertreten ist. #Geldspielgesetz - https://t.co/XzTmHrNpZz via @watson_news","http://twitter.com/RoliMarti/status/988316982507433985",2018-04-23 09:21:00,2018,17,2018-04-23,"RT @j_buechi:","#geldspielgesetz ","de","de"
"537","@CorsinManser","RT @j_buechi: Diese Grafik zeigt, wie stark die Casino-Lobby im Parlament vertreten ist. #Geldspielgesetz - https://t.co/XzTmHrNpZz via @watson_news","http://twitter.com/CorsinManser/status/988318075375190016",2018-04-23 09:26:00,2018,17,2018-04-23,"RT @j_buechi:","#geldspielgesetz ","de","de"
"538","@diuuk","RT @PhTschopp: Am Wochenende lobte @AGmur die JCVP überschwänglich für die JA-Parole zum #Geldspielgesetz - nun weiss ich auch warum: Ihr Mann bekleidet 3 Ämter im Casinobereich.
#CasinoKartellGesetz #GSGNein
Grafik zum Casinofilz:
https://t.co/wV4tT1wKBo https://t.co/UWAN1ynMSG","http://twitter.com/diuuk/status/988318539160412160",2018-04-23 09:27:00,2018,17,2018-04-23,"RT @PhTschopp:","c(""#geldspielgesetz "", ""#casinokartellgesetz "", ""#gsgnein"")","de","de"
"539","@KDKlak","Spannend. Wusste nicht dass Glücksspiel ein Ding der CVP ist... #Geldspielgesetz #GSG https://t.co/0sMLHgHLla","http://twitter.com/KDKlak/status/988318787123449856",2018-04-23 09:28:00,2018,17,2018-04-23,NA,"c(""#geldspielgesetz "", ""#gsg "")","de","de"
"540","@stefan_frei","RT @ivanlouisch: Weitere Sperren sind bereits am Horizont zu erkennen. #GSG #internetsperren https://t.co/q7jslr9UzH","http://twitter.com/stefan_frei/status/988320155427049472",2018-04-23 09:34:00,2018,17,2018-04-23,"RT @ivanlouisch:","c(""#gsg "", ""#internetsperren "")","de","lb"
"541","@Internet_Zensur","RT @meierelias: Aus Gründen verzichte ich auf einen Kommentar zu dieser Grafik zum #Geldspielgesetz . #GSGNein @Internet_Zensur @TheDudeLebovski https://t.co/u9BawV8hzY","http://twitter.com/Internet_Zensur/status/988320582759538688",2018-04-23 09:36:00,2018,17,2018-04-23,"RT @meierelias:","c(""#geldspielgesetz "", ""#gsgnein "")","de","de"
"542","@morvjn","RT @meierelias: Aus Gründen verzichte ich auf einen Kommentar zu dieser Grafik zum #Geldspielgesetz . #GSGNein @Internet_Zensur @TheDudeLebovski https://t.co/u9BawV8hzY","http://twitter.com/morvjn/status/988321140811714560",2018-04-23 09:38:00,2018,17,2018-04-23,"RT @meierelias:","c(""#geldspielgesetz "", ""#gsgnein "")","de","de"
"543","@Dr_Kakerlake","RT @PhTschopp: Am Wochenende lobte @AGmur die JCVP überschwänglich für die JA-Parole zum #Geldspielgesetz - nun weiss ich auch warum: Ihr Mann bekleidet 3 Ämter im Casinobereich.
#CasinoKartellGesetz #GSGNein
Grafik zum Casinofilz:
https://t.co/wV4tT1wKBo https://t.co/UWAN1ynMSG","http://twitter.com/Dr_Kakerlake/status/988321481309507584",2018-04-23 09:39:00,2018,17,2018-04-23,"RT @PhTschopp:","c(""#geldspielgesetz "", ""#casinokartellgesetz "", ""#gsgnein"")","de","de"
"544","@hapemathys","Diese Grafik zeigt, wie stark die Casino-Lobby im Parlament vertreten ist - watson https://t.co/vo85owm43n","http://twitter.com/hapemathys/status/988321956004093952",2018-04-23 09:41:00,2018,17,2018-04-23,NA,"character(0)","de","de"
"545","@watson_news","RT @j_buechi: Diese Grafik zeigt, wie stark die Casino-Lobby im Parlament vertreten ist. #Geldspielgesetz - https://t.co/XzTmHrNpZz via @watson_news","http://twitter.com/watson_news/status/988322418275049472",2018-04-23 09:43:00,2018,17,2018-04-23,"RT @j_buechi:","#geldspielgesetz ","de","de"
"546","@JorgoA","RT @PhTschopp: Am Wochenende lobte @AGmur die JCVP überschwänglich für die JA-Parole zum #Geldspielgesetz - nun weiss ich auch warum: Ihr Mann bekleidet 3 Ämter im Casinobereich.
#CasinoKartellGesetz #GSGNein
Grafik zum Casinofilz:
https://t.co/wV4tT1wKBo https://t.co/UWAN1ynMSG","http://twitter.com/JorgoA/status/988322508691726336",2018-04-23 09:43:00,2018,17,2018-04-23,"RT @PhTschopp:","c(""#geldspielgesetz "", ""#casinokartellgesetz "", ""#gsgnein"")","de","de"
"547","@gsg_nein","Die #Casinolobby und ihre Verbindungen zum Parlament: https://t.co/RS6im0h6Rh #Geldspielgesetz #GeldspielgesetzNEIN","http://twitter.com/gsg_nein/status/988322559895666689",2018-04-23 09:43:00,2018,17,2018-04-23,NA,"c(""#casinolobby "", ""#geldspielgesetz "", ""#geldspielgesetznein"")","de","de"
"548","@jGruene_jVertEs","RT @gsg_nein: Die #Casinolobby und ihre Verbindungen zum Parlament: https://t.co/RS6im0h6Rh #Geldspielgesetz #GeldspielgesetzNEIN","http://twitter.com/jGruene_jVertEs/status/988322626346110977",2018-04-23 09:44:00,2018,17,2018-04-23,"RT @gsg_nein:","c(""#casinolobby "", ""#geldspielgesetz "", ""#geldspielgesetznein"")","de","de"
"549","@luzian_franzini","RT @gsg_nein: Die #Casinolobby und ihre Verbindungen zum Parlament: https://t.co/RS6im0h6Rh #Geldspielgesetz #GeldspielgesetzNEIN","http://twitter.com/luzian_franzini/status/988322684047065088",2018-04-23 09:44:00,2018,17,2018-04-23,"RT @gsg_nein:","c(""#casinolobby "", ""#geldspielgesetz "", ""#geldspielgesetznein"")","de","de"
"550","@morvjn","RT @gsg_nein: Die #Casinolobby und ihre Verbindungen zum Parlament: https://t.co/RS6im0h6Rh #Geldspielgesetz #GeldspielgesetzNEIN","http://twitter.com/morvjn/status/988322927513829376",2018-04-23 09:45:00,2018,17,2018-04-23,"RT @gsg_nein:","c(""#casinolobby "", ""#geldspielgesetz "", ""#geldspielgesetznein"")","de","de"
"551","@SibelArslanBS","Es gibt viele Gründe für ein Nein beim #Geldspielgesetz
#GeldspielgesetzNEIN @jGruene_jVertEs https://t.co/T51F7woepG","http://twitter.com/SibelArslanBS/status/988326761141293061",2018-04-23 10:00:00,2018,17,2018-04-23,NA,"c(""#geldspielgesetz"", ""#geldspielgesetznein "")","de","de"
"552","@derFuetsch","""Wie stimmen Sie beim Geldspielgesetz ab?"" (20min) - Tamedia macht mal wieder eine Umfrage.","http://twitter.com/derFuetsch/status/988326906088120320",2018-04-23 10:01:00,2018,17,2018-04-23,NA,"character(0)","de","de"
"553","@GrueneBasel","RT @SibelArslanBS: Es gibt viele Gründe für ein Nein beim #Geldspielgesetz
#GeldspielgesetzNEIN @jGruene_jVertEs https://t.co/T51F7woepG","http://twitter.com/GrueneBasel/status/988329186736656384",2018-04-23 10:10:00,2018,17,2018-04-23,"RT @SibelArslanBS:","c(""#geldspielgesetz"", ""#geldspielgesetznein "")","de","de"
"554","@bitmorsebits","RT @MarcelWaldvogel: In der Schweiz wird die Auswahl gerade erweitert um
• Schutz der Süchtigen
• Rettung der #AHV
• Kulturförderung
#Netzsperren #Geldspielgesetz #GSGnein https://t.co/HLORvNVeKG","http://twitter.com/bitmorsebits/status/988330368297259008",2018-04-23 10:14:00,2018,17,2018-04-23,"RT @MarcelWaldvogel:","c(""#ahv"", ""#netzsperren "", ""#geldspielgesetz "", ""#gsgnein "")","de","de"
"555","@dboppch","RT @Anuril: Thread:
Also Zusammenfassend zum #GSGNein:
1. Der Bürger soll beschützt werden - vor unlizenzierten Casinos im Ausland. 
2. Als Mittel wird vom @ParlCH gewählt dass es einen Mechanismus wie Grenzkontrollen geben soll
3. Dafür sollen technische Mittel eingesetzt werden","http://twitter.com/dboppch/status/988331702505353216",2018-04-23 10:20:00,2018,17,2018-04-23,"RT @Anuril:","#gsgnein:","de","de"
"556","@morvjn","@luzian_franzini Das ist ja kein Widerspruch. Es ist ja erst ein Filz, wenn sich staatliche und private Interessen vermischen. Das tun sie beim #GSG.

#Glückspielgesetznein","http://twitter.com/morvjn/status/988332000263200768",2018-04-23 10:21:00,2018,17,2018-04-23,NA,"c(""#gsg."", ""#glückspielgesetznein"")","de","de"
"557","@zeitungsjunge","Wellen wir, dass gewisse Lobbyverbände uns die Gesetze diktieren?
Zeigt unseren ""Volksvertretern"" ihre Grenzen und schickt dieses unsägliche Machwerk bachab! #GSGnein #GSG https://t.co/KTlUHUDOHX","http://twitter.com/zeitungsjunge/status/988332285459095552",2018-04-23 10:22:00,2018,17,2018-04-23,NA,"c(""#gsgnein "", ""#gsg "")","de","de"
"558","@BDPoberaargau","Wie stimmt ihr beim #Geldspielgesetz und bei der #Vollgeldinitiative vom 10. Juni 2018? Die aktuelle Tamedia-Umfrage zur #abst18 ist online. https://t.co/REp3c8rsEA via @derbund","http://twitter.com/BDPoberaargau/status/988332583170789376",2018-04-23 10:23:00,2018,17,2018-04-23,NA,"c(""#geldspielgesetz "", ""#vollgeldinitiative "", ""#abst18 "")","de","de"
"559","@BDPbuchsi","RT @BDPoberaargau: Wie stimmt ihr beim #Geldspielgesetz und bei der #Vollgeldinitiative vom 10. Juni 2018? Die aktuelle Tamedia-Umfrage zur #abst18 ist online. https://t.co/REp3c8rsEA via @derbund","http://twitter.com/BDPbuchsi/status/988332611348189184",2018-04-23 10:23:00,2018,17,2018-04-23,"RT @BDPoberaargau:","c(""#geldspielgesetz "", ""#vollgeldinitiative "", ""#abst18 "")","de","de"
"560","@JupiterKallisto","RT @BDPoberaargau: Wie stimmt ihr beim #Geldspielgesetz und bei der #Vollgeldinitiative vom 10. Juni 2018? Die aktuelle Tamedia-Umfrage zur #abst18 ist online. https://t.co/REp3c8rsEA via @derbund","http://twitter.com/JupiterKallisto/status/988332644193759232",2018-04-23 10:23:00,2018,17,2018-04-23,"RT @BDPoberaargau:","c(""#geldspielgesetz "", ""#vollgeldinitiative "", ""#abst18 "")","de","de"
"561","@SandroStamm","RT @adrianmichel: Et voilà. #Netzsperren werden sich nicht nur auf Casinos beschränken. Darum NEIN zum Dammbruch, NEIN zum Paradigmenwechsel. #Geldspielgesetz #Abst18 https://t.co/NNBlbt3VuX","http://twitter.com/SandroStamm/status/988333004786491392",2018-04-23 10:25:00,2018,17,2018-04-23,"RT @adrianmichel:","c(""#netzsperren "", ""#geldspielgesetz "", ""#abst18 "")","de","de"
"562","@Michele__Barone","RT @NZZSchweiz: Dänemark ist das Vorbild der #Geldspielgesetz-Gegner – aber auch dort gibt es Netzsperren: https://t.co/7grSiEZTgY via @nzz","http://twitter.com/Michele__Barone/status/988334806290362368",2018-04-23 10:32:00,2018,17,2018-04-23,"RT @NZZSchweiz:","#geldspielgesetz-gegner ","de","de"
"563","@AdiWilli","RT @gsg_nein: Die #Casinolobby und ihre Verbindungen zum Parlament: https://t.co/RS6im0h6Rh #Geldspielgesetz #GeldspielgesetzNEIN","http://twitter.com/AdiWilli/status/988335778727104514",2018-04-23 10:36:00,2018,17,2018-04-23,"RT @gsg_nein:","c(""#casinolobby "", ""#geldspielgesetz "", ""#geldspielgesetznein"")","de","de"
"564","@knowLED","@AGmur @JCVPSchweiz @geldspiel_ja ...beim #GSG gehts um #Netzsperren, denn mit einem Nein bleibts beim Status Quo.
#RTFM!
https://t.co/phEvQD5lLm","http://twitter.com/knowLED/status/988336003437027328",2018-04-23 10:37:00,2018,17,2018-04-23,NA,"c(""#gsg "", ""#netzsperren, "", ""#rtfm!"")","de","de"
